height,width,winCondition,withPruning,iteration1,iteration2,iteration3,cpu,,,,Memory
3,3,3,0,57.59547448158264,51.04850172996521,40.476632833480835,0,0,0,0,17.628873239436622
5,5,5,1,2.7748215198516846,3.0220086574554443,2.9927592277526855,0,0,0,0,24.16666666666666
6,6,5,1,16.476439476013184,15.504964351654053,16.336017370224,0,0,0,0,34.3195652173913
7,7,5,1,65.36619210243225,66.3257942199707,65.41620469093323,0,0,0,0,45.61358695652175
5,5,5,0,7.023271083831787,6.783623456954956,8.914073944091797,0,0,0,0,42.95454545454544
6,6,5,0,41.506285667419434,43.55189490318298,52.904057264328,0,0,0,0,59.51093749999999
7,7,5,0,168.87297368049622,140.72177934646606,143.91589522361755,0,0,0,0,79.65742574257429
5,5,5,1,57.153117656707764,31.439780235290527,22.01681637763977,0,0,0,0,35.91346153846152
6,6,5,1,306.455078125,252.63671708106995,236.22819924354553,0,0,0,0,41.936927223719664
7,7,5,1,1012.0914514064789,1510.5288650989532,1496.7361299991608,0,0,0,0,50.61281773931855
