height,width,winCondition,withPruning,iteration1,iteration2,iteration3,cpu,,,,Memory
3,3,3,0,346.51338958740234,775.9861812591553,519.8942549228668,0,0,0,0,4.799999999999999
5,5,5,1,0.4968090057373047,0.5073459148406982,0.6371016502380371,0,0,0,0,4.8
6,6,5,1,1.2291312217712402,1.2044117450714111,1.1864197254180908,0,0,0,0,4.8
7,7,5,1,2.6575419902801514,2.2537100315093994,2.3253607749938965,0,0,0,0,4.8
5,5,5,0,3.789980411529541,3.461439609527588,2.904669761657715,0,0,0,0,4.799999999999999
6,6,5,0,8.91987919807434,4.702677249908447,4.7398364543914795,0,0,0,0,4.8
7,7,5,0,92.53674054145813,27.210090398788452,45.686288833618164,0,0,0,0,4.799354838709677
5,5,5,1,26.80375599861145,17.10412049293518,15.262502431869507,0,0,0,0,4.79814814814815
6,6,5,1,103.72096729278564,100.66218781471252,128.8494212627411,0,0,0,0,4.8
7,7,5,1,473.12180352211,211.79600048065186,686.7874386310577,0,0,0,0,4.8
